lat,lng
34.12501645871609, -118.31391677586349
34.12540651709185,-118.31299710070277
34.12652644655443,-118.31175172650454
34.12713461395413,-118.3115546169192
34.12780952631257,-118.31037195940718
34.12730519671336,-118.30933265423386
34.12747577912244,-118.30900115174941
34.12780210972853,-118.30917138275494
34.12944116034562,-118.30872340640511
34.13184405490706,-118.30606242696567
34.1318737198815,-118.30542630049777
34.13226677932403,-118.30493352653443
34.132407686981,-118.30536358381154
34.13313447011264,-118.3053187861785
34.133394034002265,-118.30497832416745
34.133690677471456,-118.30510375753997
34.133646181017454,-118.30546213860418
34.1340169841145,-118.3067254319142
34.13377967033864,-118.30712861061147
34.133868663082694,-118.30732572019681
34.134424865609866,-118.3071644487179
34.13436683224895,-118.30679839525024
34.13471144980052,-118.30630785079784
34.13517548705594,-118.30601723412644
34.1352181374232,-118.30596158412725
34.135245433639234,-118.30579051190226
34.13513966075304,-118.30534118967275
34.13509189230945,-118.30513920078059
34.13514307278383,-118.30475377298194
34.135134542706936,-118.30416841741689
34.13514307278383,-118.30398703963618
34.13511577653394,-118.30390459517778
34.13482404732127,-118.3036201618398
34.13470974378794,-118.30335840072446
34.13466879920107,-118.30297915627386
34.13530855610435,-118.30364901739586
34.13544844896858,-118.30398291740124
34.135646345795706,-118.3041704785154
34.13561734370345,-118.30449819518738
34.135723115991794,-118.30469193963498
34.13603360809292,-118.30420963962224
34.1360233721101,-118.30349855626989
34.136385042812705,-118.30296678958234
34.136562465609444,-118.30278953402392
34.13673988803369,-118.30200425067784
34.136908780187625,-118.3016085173381
34.136896838339105,-118.30147042286617
34.13650958001695,-118.3008562117451
34.136367982909356,-118.30093659507962
34.13618885371014,-118.30118392841699
34.13610867194561,-118.30119423397271
34.13589542220153,-118.30106644508174
34.13572311600661,-118.30097781729904
34.13561222570095,-118.30082529507436
34.13535461842137,-118.30078819507318
34.13511577654083,-118.30077170618402
34.13502706367042,-118.30052025062436
34.13483428345792,-118.30029352839848
34.13432247542975,-118.30012039505121
34.13415699017765,-118.29986069504699
34.13421328932041,-118.29957832282021
34.13409216081529,-118.29924442281478
34.13399662271697,-118.29919701725846
34.13383625495201,-118.29946083948496
34.1337390105107,-118.29967725615927
34.133547933407684,-118.2998029839391
34.133360267975284,-118.30004413394299
34.13301223278812,-118.30015337283919
34.131787274033265,-118.29986275616572
34.13139658010471,-118.29966901171244
34.1309734684914,-118.29946290059426
34.130956407495134,-118.29942167837139
34.130209132468885,-118.29932480614627
34.13008117375579,-118.29939282281406
34.1300129290154,-118.30010390616827
34.12986279042384,-118.30086033395831
34.129695590314846,-118.30180638397364
34.12958981047494,-118.3033089340307
34.12973653730259,-118.3040035284864
34.12991566869603,-118.30410657017373
34.130004685438294,-118.30405486902146
34.13005946492541,-118.30390183361074
34.13000126171916,-118.30355026577533
34.1299310754466,-118.30305807080572
34.13003892262191,-118.30259069238922
34.13045153641942,-118.30187077331615
34.13081277466022,-118.30138679887479
34.131150043080495,-118.30105794445402
34.131489022175,-118.30067945162371
34.13159516686206,-118.30064429108815
34.13194784020607,-118.30072288522805
34.132038576309135,-118.30083250336833
34.13205912031894,-118.30096487244334
34.132216624238225,-118.30104760311762
34.13258812686176,-118.30092557537661
34.132808973269654,-118.30088834657425
34.133046938908215,-118.3010145108489
34.13343555762374,-118.30133922874371
34.13424531686668,-118.30168669757074
34.1343377624578,-118.30189766078406
34.13431208313707,-118.30204864426028
34.134031322054824,-118.30267119256625
34.134050153620024,-118.30276633283891
34.134443903567366, -118.30287181444558
34.13462023447081, -118.3029379989831
34.134669880969504, -118.30297936431903
